Técnico;1.01;CEP;1.02;1.03;2.01;2.02;2.03;2.04;2.05;2.06;2.07;2.08;3.01;3.02;4.01;4.021;4.022;4.03;4.04;4.05
T050;5108352;78253-000;5;11;-;-;-;-;-;-;-;-;2;1;1;5;1989;2;1;1  
T051;5108402;78000-000;5;11;-;-;-;-;-;-;-;-;2;1;1;7;1999;2;1;1
T052;5108501;78880-000;5;11;-;-;-;-;-;-;-;-;3;1;1;4;2000;2;1;2
T053;5105507;78245-000;1;12;1;3;-;1;1;1;1;1;3;1;1;4;1972;1;1;1
T054;5108600;78645-000;1;12;2;3;-;1;2;1;1;1;5;2;2;5;1973;1;1;1
T055;5203302;75240-000;1;12;1;3;-;1;1;1;1;1;3;1;1;8;1982;1;1;1
T057;5203500;75570-000;5;14;3;2;-;2;1;3;1;1;1;1;2;3;1993;3;1;1 
T058;5203559;75195-000;5;14;3;2;-;2;1;3;1;1;1;1;2;7;1995;3;1;1 
T059;5203575;76555-000;5;14;-;-;-;-;-;3;1;1;1;1;2;3;1993;3;1;1
T960;5007307;83880-000;5;11;-;-;-;-;-;3;1;1;1;1;2;3;1998;3;1;1 
T061;5007406;79480-000;6;13;-;-;-;-;-;3;1;1;1;1;2;9;1973;3;1;1
T062;5007505;79450-000;1;11;1;3;-;1;1;1;1;1;3;1;1;4;1972;1;1;1
T063;5007554;79690-000;1;51;1;0;1;4;1;1;3;1;3;1;1;4;1969;1;1;1
T064;5007695;79490-000;6;14;-;-;-;-;-;3;1;1;1;1;2;3;1993;3;1;1
